period,reporterCode,partnerCode,HS6code,qtyUnitCode,qty_M,qty_RM,qty_X,primaryValue_M,primaryValue_RM,primaryValue_X,netWgt_M,netWgt_RM,netWgt_X,balance_primaryValue,balance_qty,balance_netWgt
2017,156,842,1,-1,0,0,0,31562282,0,54276884,0,0,0,22714602,0,0
2017,156,842,101,5,4,0,6,4000,0,52000,2000,0,2400,48000,2,400
2017,156,842,10129,5,4,0,6,4000,0,52000,2000,0,2400,48000,2,400
2017,156,842,103,5,11216,0,0,20625106,0,0,689660,0,0,-20625106,-11216,-689660
2017,156,842,10310,5,11216,0,0,20625106,0,0,689660,0,0,-20625106,-11216,-689660
2017,156,842,106,5,869556,0,46536,10933176,0,54224884,65809.338,0,141951.674,43291708,-823020,76142.336
2017,156,842,10611,5,0,0,30962,0,0,53650210,0,0,136952,53650210,30962,136952
2017,156,842,10612,5,0,0,14,0,0,280000,0,0,2614,280000,14,2614
2017,156,842,10614,5,4,0,0,1372,0,0,16,0,0,-1372,-4,-16
2017,156,842,10619,5,45082,0,8260,8918378,0,280600,33559.546,0,1105.674,-8637778,-36822,-32453.872
2017,156,842,10620,5,654628,0,7300,1820344,0,14074,28542,0,1280,-1806270,-647328,-27262
2017,156,842,10649,5,167942,0,0,73532,0,0,94,0,0,-73532,-167942,-94
2017,156,842,10690,5,1900,0,0,119550,0,0,3597.792,0,0,-119550,-1900,-3597.792
2017,156,842,2,-1,0,0,0,2373783432,0,8271246,0,0,0,-2365512186,0,0
2017,156,842,201,8,535880,0,0,10115950,0,0,535880,0,0,-10115950,-535880,-535880
2017,156,842,20120,8,38364,0,0,800502,0,0,38364,0,0,-800502,-38364,-38364
2017,156,842,20130,8,497516,0,0,9315448,0,0,497516,0,0,-9315448,-497516,-497516
2017,156,842,202,8,3873690,0,0,39885836,0,0,3873690,0,0,-39885836,-3873690,-3873690
2017,156,842,20220,8,296830,0,0,3043712,0,0,296830,0,0,-3043712,-296830,-296830
2017,156,842,20230,8,3576860,0,0,36842124,0,0,3576860,0,0,-36842124,-3576860,-3576860
2017,156,842,203,8,331481602,0,0,571357366,0,0,331481602,0,0,-571357366,-331481602,-331481602
2017,156,842,20312,8,24930,0,0,61902,0,0,24930,0,0,-61902,-24930,-24930
2017,156,842,20319,8,10528,0,0,30022,0,0,10528,0,0,-30022,-10528,-10528
2017,156,842,20322,8,132041362,0,0,235417626,0,0,132041362,0,0,-235417626,-132041362,-132041362
2017,156,842,20329,8,199404782,0,0,335847816,0,0,199404782,0,0,-335847816,-199404782,-199404782
2017,156,842,204,8,1196,0,0,12778,0,0,1196,0,0,-12778,-1196,-1196
2017,156,842,20422,8,1044,0,0,11878,0,0,1044,0,0,-11878,-1044,-1044
2017,156,842,20450,8,152,0,0,900,0,0,152,0,0,-900,-152,-152
2017,156,842,206,8,832663048,0,0,1747696184,0,0,832663048,0,0,-1747696184,-832663048,-832663048
2017,156,842,20629,8,18260,0,0,74248,0,0,18260,0,0,-74248,-18260,-18260
2017,156,842,20649,8,832644788,0,0,1747621936,0,0,832644788,0,0,-1747621936,-832644788,-832644788
2017,156,842,207,8,7110,0,0,8472,0,0,7110,0,0,-8472,-7110,-7110
2017,156,842,20725,8,2574,0,0,4030,0,0,2574,0,0,-4030,-2574,-2574
2017,156,842,20727,8,4536,0,0,4442,0,0,4536,0,0,-4442,-4536,-4536
2017,156,842,208,8,0,0,2038240,0,0,8271246,0,0,2038240,8271246,2038240,2038240
2017,156,842,20810,8,0,0,2038240,0,0,8271246,0,0,2038240,8271246,2038240,2038240
