"period","reporterCode","partnerCode","HS6code","qtyUnitCode","qty_M","qty_RM","qty_X","primaryValue_M","primaryValue_RM","primaryValue_X","netWgt_M","netWgt_RM","netWgt_X","balance_primaryValue","balance_qty","balance_netWgt"
2017,"156","344","280461",8,16444,0,5951702,362000,0,90677968,16444,0,5951702,90315968,5935258,5935258
2017,"156","586","280461",8,0,0,1353660,0,0,17597580,0,0,1353660,17597580,1353660,1353660
2017,"156","36","280461",8,374,0,12980.888,30298,0,6572300,374,0,12980.888,6542002,12606.888,12606.888
2017,"156","702","280461",8,5000,0,395455.636,79656,0,4947284,5000,0,395455.636,4867628,390455.636,390455.636
2017,"156","643","280461",8,217682,0,176236,6639038,0,7912060,217682,0,176236,1273022,-41446,-41446
2017,"156","860","280461",8,0,0,480000,0,0,1058814,0,0,480000,1058814,480000,480000
2017,"156","56","280461",8,360,0,2930,29174,0,498510,360,0,2930,469336,2570,2570
2017,"156","566","280461",8,0,0,2000,0,0,156000,0,0,2000,156000,2000,2000
2017,"156","528","280461",8,156.088,0,520,2520,0,132230,156.088,0,520,129710,363.912,363.912
2017,"156","112","280461",8,0,0,480,0,0,54888,0,0,480,54888,480,480
2017,"156","251","280461",8,1926,0,2876,54546,0,94042,1926,0,2876,39496,950,950
2017,"156","757","280461",8,702.468,0,1206,19880,0,36308,702.468,0,1206,16428,503.532,503.532
2017,"156","752","280461",8,0,0,64,0,0,12376,0,0,64,12376,64,64
2017,"156","360","280461",8,0,0,28,0,0,2340,0,0,28,2340,28,28
2017,"156","484","280461",8,0,0,320,0,0,840,0,0,320,840,320,320
2017,"156","764","280461",8,0,0,17.736,0,0,360,0,0,17.736,360,17.736,17.736
2017,"156","170","280461",8,0,0,122,0,0,300,0,0,122,300,122,122
2017,"156","688","280461",8,0,0,58,0,0,296,0,0,58,296,58,58
2017,"156","480","280461",8,0,0,170,0,0,250,0,0,170,250,170,170
2017,"156","704","280461",8,0,0,100,0,0,138,0,0,100,138,100,100
2017,"156","152","280461",8,0,0,2,0,0,64,0,0,2,64,2,2
2017,"156","512","280461",8,0,0,30,0,0,36,0,0,30,36,30,30
2017,"156","899","280461",8,200,0,0,1736,0,0,200,0,0,-1736,-200,-200
2017,"156","40","280461",8,4,0,0,3432,0,0,4,0,0,-3432,-4,-4
2017,"156","348","280461",8,6,0,0,22756,0,0,6,0,0,-22756,-6,-6
2017,"156","826","280461",8,48.33,0,4,57148,0,4776,48.33,0,4,-52372,-44.33,-44.33
2017,"156","380","280461",8,208,0,0,59722,0,0,208,0,0,-59722,-208,-208
2017,"156","699","280461",8,7040,0,2,380668,0,470,7040,0,2,-380198,-7038,-7038
2017,"156","376","280461",8,2,0,0,4e+05,0,0,2,0,0,-4e+05,-2,-2
2017,"156","208","280461",8,1944,0,0,963400,0,0,1944,0,0,-963400,-1944,-1944
